Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/U0/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_0_axis_tready,design_1_i/system_ila_0/U0/net_slot_0_axis_tlast,design_1_i/system_ila_0/U0/net_slot_1_axis_tdata[15:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tkeep[1:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_1_axis_tready,design_1_i/system_ila_0/U0/net_slot_1_axis_tlast,Interface_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],Interface_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(AXI_wrap_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0]
250,250,0,0,0,1,0,34749,3,1,1,0,"_","Active","_","Stream Beat"
251,251,0,0,0,1,0,30201,3,1,1,0,"_","Active","_","Stream Beat"
252,252,0,0,0,1,0,38137,3,1,1,0,"_","Active","_","Stream Beat"
253,253,0,0,0,1,0,27881,3,1,1,0,"_","Active","_","Stream Beat"
254,254,0,0,0,1,0,28537,3,1,1,0,"_","Active","_","Stream Beat"
255,255,0,0,0,1,0,25035,3,1,1,0,"_","Active","_","Stream Beat"
256,256,0,0,0,1,0,25066,3,1,1,0,"_","Active","_","Stream Beat"
257,257,0,0,0,1,0,17521,3,1,1,0,"_","Active","_","Stream Beat"
258,258,0,0,0,1,0,27522,3,1,1,0,"_","Active","_","Stream Beat"
259,259,0,0,0,1,0,31143,3,1,1,0,"_","Active","_","Stream Beat"
260,260,0,0,0,1,0,35742,3,1,1,0,"_","Active","_","Stream Beat"
261,261,0,0,0,1,0,28680,3,1,1,0,"_","Active","_","Stream Beat"
262,262,0,0,0,1,0,34897,3,1,1,0,"_","Active","_","Stream Beat"
263,263,0,0,0,1,0,30134,3,1,1,0,"_","Active","_","Stream Beat"
264,264,0,0,0,1,0,36909,3,1,1,0,"_","Active","_","Stream Beat"
265,265,0,0,0,1,0,39836,3,1,1,0,"_","Active","_","Stream Beat"
266,266,0,0,0,1,0,37731,3,1,1,0,"_","Active","_","Stream Beat"
267,267,0,0,0,1,0,38916,3,1,1,0,"_","Active","_","Stream Beat"
268,268,0,0,0,1,0,35329,3,1,1,0,"_","Active","_","Stream Beat"
269,269,0,0,0,1,0,58581,3,1,1,0,"_","Active","_","Stream Beat"
270,270,0,0,0,1,0,48729,3,1,1,0,"_","Active","_","Stream Beat"
271,271,0,0,0,1,0,26854,3,1,1,0,"_","Active","_","Stream Beat"
272,272,0,0,0,1,0,28597,3,1,1,0,"_","Active","_","Stream Beat"
273,273,0,0,0,1,0,34227,3,1,1,0,"_","Active","_","Stream Beat"
274,274,0,0,0,1,0,28726,3,1,1,0,"_","Active","_","Stream Beat"
275,275,0,0,0,1,0,18377,3,1,1,0,"_","Active","_","Stream Beat"
276,276,0,0,0,1,0,20330,3,1,1,0,"_","Active","_","Stream Beat"
277,277,0,0,0,1,0,27254,3,1,1,0,"_","Active","_","Stream Beat"
278,278,0,0,0,1,0,22404,3,1,1,0,"_","Active","_","Stream Beat"
279,279,0,0,0,1,0,25011,3,1,1,0,"_","Active","_","Stream Beat"
280,280,0,0,0,1,0,36902,3,1,1,0,"_","Active","_","Stream Beat"
281,281,0,0,0,1,0,26843,3,1,1,0,"_","Active","_","Stream Beat"
282,282,0,0,0,1,0,26843,3,1,1,0,"_","Active","_","Stream Beat"
283,283,0,0,0,1,0,36902,3,1,1,0,"_","Active","_","Stream Beat"
284,284,0,0,0,1,0,25011,3,1,1,0,"_","Active","_","Stream Beat"
285,285,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
286,286,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
287,287,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
288,288,0,0,0,1,0,36774,3,1,1,0,"_","Active","_","Stream Beat"
289,289,0,0,0,1,0,32356,3,1,1,0,"_","Active","_","Stream Beat"
290,290,0,0,0,1,0,37257,3,1,1,0,"_","Active","_","Stream Beat"
291,291,0,0,0,1,0,37466,3,1,1,0,"_","Active","_","Stream Beat"
292,292,0,0,0,1,0,42946,3,1,1,0,"_","Active","_","Stream Beat"
293,293,0,0,0,1,0,35922,3,1,1,0,"_","Active","_","Stream Beat"
294,294,0,0,0,1,0,30965,3,1,1,0,"_","Active","_","Stream Beat"
295,295,0,0,0,1,0,27712,3,1,1,0,"_","Active","_","Stream Beat"
296,296,0,0,0,1,0,17559,3,1,1,0,"_","Active","_","Stream Beat"
297,297,0,0,0,1,0,27426,3,1,1,0,"_","Active","_","Stream Beat"
298,298,0,0,0,1,0,22882,3,1,1,0,"_","Active","_","Stream Beat"
299,299,0,0,0,1,0,20395,3,1,1,0,"_","Active","_","Stream Beat"
300,300,0,0,0,1,0,18434,3,1,1,0,"_","Active","_","Stream Beat"
301,301,0,0,0,1,0,25784,3,1,1,0,"_","Active","_","Stream Beat"
302,302,0,0,0,1,0,24685,3,1,1,0,"_","Active","_","Stream Beat"
303,303,0,0,0,1,0,23394,3,1,1,0,"_","Active","_","Stream Beat"
304,304,0,0,0,1,0,31131,3,1,1,0,"_","Active","_","Stream Beat"
305,305,0,0,0,1,0,29807,3,1,1,0,"_","Active","_","Stream Beat"
306,306,0,0,0,1,0,21898,3,1,1,0,"_","Active","_","Stream Beat"
307,307,0,0,0,1,0,30508,3,1,1,0,"_","Active","_","Stream Beat"
